Time [s],Value,Parity Error,Framing Error
3.431331291666667,u,,
3.431417958333333,n,,
3.431504666666667,k,,
3.431591333333333,-,,
3.431678000000000,r,,
3.431764708333333,p,,
3.431851375000000,i,,
3.431938041666667,2,,
3.432024750000000,' ',,
3.432111416666667,(,,
3.432198083333333,d,,
3.432284791666667,e,,
3.432371458333333,b,,
3.432458125000000,i,,
3.432544833333333,a,,
3.432631500000000,n,,
3.432718166666667,-,,
3.432804875000000,k,,
3.432891541666667,e,,
3.432978208333333,r,,
3.433064916666666,n,,
3.433151583333333,e,,
3.433238250000000,l,,
3.433324958333333,@,,
3.433411625000000,l,,
3.433498291666667,i,,
3.433585000000000,s,,
3.433671666666667,t,,
3.433758333333333,s,,
3.433845041666667,.,,
3.433931708333333,d,,
3.434018375000000,e,,
3.434105083333333,b,,
3.434191750000000,i,,
3.434278416666666,a,,
3.434365125000000,n,,
3.434451791666667,.,,
3.434538458333333,o,,
3.434625166666667,r,,
3.434711833333334,g,,
3.434798541666667,),,
3.434885208333333,' ',,
3.434971875000000,(,,
3.435058583333333,g,,
3.435145250000000,c,,
3.435231916666666,c,,
3.435318625000000,' ',,
3.435405291666667,v,,
3.435491958333333,e,,
3.435578666666667,r,,
3.435665333333333,s,,
3.435752000000000,i,,
3.435838708333333,o,,
3.435925375000000,n,,
3.436012041666667,' ',,
3.436098750000000,4,,
3.436185416666667,.,,
3.436272083333333,9,,
3.436358791666667,.,,
3.436445458333333,1,,
3.436532125000000,' ',,
3.436618833333333,(,,
3.436705500000000,D,,
3.436792166666667,e,,
3.436878875000000,b,,
3.436965541666666,i,,
3.437052208333333,a,,
3.437138916666667,n,,
3.437225583333333,' ',,
3.437312250000000,4,,
3.437398958333334,.,,
3.437485625000000,9,,
3.437572291666667,.,,
3.437659000000000,1,,
3.437745666666667,-,,
3.437832333333333,1,,
3.437919041666667,9,,
3.438005708333333,),,
3.438092375000000,' ',,
3.438179083333333,),,
3.438265750000000,' ',,
3.438352416666667,#,,
3.438439125000000,1,,
3.438525791666667,' ',,
3.438612458333334,S,,
3.438699166666667,M,,
3.438785833333333,P,,
3.438872500000000,' ',,
3.438959208333333,P,,
3.439045875000000,R,,
3.439132541666666,E,,
3.439219250000000,E,,
3.439305916666667,M,,
3.439392583333333,P,,
3.439479291666667,T,,
3.439565958333333,' ',,
3.439652625000000,D,,
3.439739333333333,e,,
3.439826000000000,b,,
3.439912666666667,i,,
3.439999375000000,a,,
3.440086041666667,n,,
3.440172750000000,' ',,
3.440259416666667,3,,
3.440346083333333,.,,
3.440432791666667,1,,
3.440519458333333,8,,
3.440606125000000,.,,
3.440692833333333,5,,
3.440779500000000,-,,
3.440866166666666,1,,
3.440952875000000,~,,
3.441039541666667,e,,
3.441126208333333,x,,
3.441212916666667,p,,
3.441299583333334,1,,
3.441386250000000,.,,
3.441472958333333,c,,
3.441559625000000,o,,
3.441646291666667,1,,
3.441733000000000,' ',,
3.441819666666666,(,,
3.441906333333333,2,,
3.441993041666667,0,,
3.442079708333333,1,,
3.442166375000000,5,,
3.442253083333333,-,,
3.442339750000000,0,,
3.442426416666667,2,,
3.442513125000000,-,,
3.442599791666667,0,,
3.442686458333333,2,,
3.442773166666667,),,
3.442859833333333,\r,,
3.442946500000000,\n,,
3.443051541666667,[,,
3.443138208333334,' ',,
3.443224875000000,' ',,
3.443311583333333,' ',,
3.443398250000000,' ',,
3.443484916666667,0,,
3.443571625000000,.,,
3.443658291666666,0,,
3.443744958333333,0,,
3.443831666666667,0,,
3.443918333333333,0,,
3.444005000000000,0,,
3.444091708333333,0,,
3.444178375000000,],,
3.444265041666667,' ',,
3.444351750000000,C,,
3.444438416666667,P,,
3.444525083333333,U,,
3.444611791666667,:,,
3.444698458333333,' ',,
3.444785166666667,A,,
3.444871833333333,R,,
3.444958500000000,M,,
3.445045208333333,v,,
3.445131875000000,7,,
3.445218541666667,' ',,
3.445305250000000,P,,
3.445391916666667,r,,
3.445478583333333,o,,
3.445565291666667,c,,
3.445651958333333,e,,
3.445738625000000,s,,
3.445825333333334,s,,
3.445912000000000,o,,
3.445998666666667,r,,
3.446085375000000,' ',,
3.446172041666667,[,,
3.446258708333333,4,,
3.446345416666666,1,,
3.446432083333333,0,,
3.446518750000000,f,,
3.446605458333333,c,,
3.446692125000000,0,,
3.446778791666667,7,,
3.446865500000000,5,,
3.446952166666667,],,
3.447038833333333,' ',,
3.447125541666667,r,,
3.447212208333333,e,,
3.447298875000000,v,,
3.447385583333333,i,,
3.447472250000000,s,,
3.447558916666666,i,,
3.447645625000000,o,,
3.447732291666667,n,,
3.447818958333333,' ',,
3.447905666666667,5,,
3.447992333333334,' ',,
3.448079000000000,(,,
3.448165708333333,A,,
3.448252375000000,R,,
3.448339041666667,M,,
3.448425750000000,v,,
3.448512416666667,7,,
3.448599083333333,),,
3.448685791666667,COMMA,,
3.448772458333333,' ',,
3.448859125000000,c,,
3.448945833333333,r,,
3.449032500000000,=,,
3.449119166666667,1,,
3.449205875000000,0,,
3.449292541666667,c,,
3.449379208333333,5,,
3.449465916666667,3,,
3.449552583333333,8,,
3.449639250000000,7,,
3.449725958333334,d,,
3.449812625000000,\r,,
3.449899291666667,\n,,
3.450004000000000,[,,
3.450090666666667,' ',,
3.450177375000000,' ',,
3.450264041666667,' ',,
3.450350708333333,' ',,
3.450437416666666,0,,
3.450524083333333,.,,
3.450610750000000,0,,
3.450697458333333,0,,
3.450784125000000,0,,
3.450870791666667,0,,
3.450957500000000,0,,
3.451044166666667,0,,
3.451130833333333,],,
3.451217541666667,' ',,
3.451304208333333,C,,
3.451390875000000,P,,
3.451477583333333,U,,
3.451564250000000,:,,
3.451650916666666,' ',,
3.451737625000000,P,,
3.451824291666667,I,,
3.451910958333333,P,,
3.451997666666667,T,,
3.452084333333334,' ',,
3.452171000000000,/,,
3.452257708333333,' ',,
3.452344375000000,V,,
3.452431041666667,I,,
3.452517750000000,P,,
3.452604416666667,T,,
3.452691083333333,' ',,
3.452777791666667,n,,
3.452864458333333,o,,
3.452951125000000,n,,
3.453037833333333,a,,
3.453124500000000,l,,
3.453211166666667,i,,
3.453297875000000,a,,
3.453384541666667,s,,
3.453471208333333,i,,
3.453557916666667,n,,
3.453644583333333,g,,
3.453731250000000,' ',,
3.453817958333333,d,,
3.453904625000000,a,,
3.453991291666667,t,,
3.454078000000000,a,,
3.454164666666667,' ',,
3.454251333333333,c,,
3.454338041666666,a,,
3.454424708333333,c,,
3.454511375000000,h,,
3.454598083333333,e,,
3.454684750000000,COMMA,,
3.454771416666667,' ',,
3.454858125000000,V,,
3.454944791666667,I,,
3.455031500000000,P,,
3.455118166666667,T,,
3.455204833333333,' ',,
3.455291541666667,a,,
3.455378208333333,l,,
3.455464875000000,i,,
3.455551583333333,a,,
3.455638250000000,s,,
3.455724916666667,i,,
3.455811625000000,n,,
3.455898291666667,g,,
3.455984958333334,' ',,
3.456071666666667,i,,
3.456158333333333,n,,
3.456245000000000,s,,
3.456331708333333,t,,
3.456418375000000,r,,
3.456505041666667,u,,
3.456591750000000,c,,
3.456678416666667,t,,
3.456765083333333,i,,
3.456851791666667,o,,
3.456938458333333,n,,
3.457025125000000,' ',,
3.457111833333333,c,,
3.457198500000000,a,,
3.457285166666667,c,,
3.457371875000000,h,,
3.457458541666667,e,,
3.457545208333333,\r,,
3.457631916666667,\n,,
3.457735916666667,[,,
3.457822583333333,' ',,
3.457909291666667,' ',,
3.457995958333334,' ',,
3.458082625000000,' ',,
3.458169333333333,0,,
3.458256000000000,.,,
3.458342666666667,0,,
3.458429375000000,0,,
3.458516041666666,0,,
3.458602708333333,0,,
3.458689416666667,0,,
3.458776083333333,0,,
3.458862750000000,],,
3.458949458333333,' ',,
3.459036125000000,M,,
3.459122791666667,a,,
3.459209500000000,c,,
3.459296166666667,h,,
3.459382833333333,i,,
3.459469541666667,n,,
3.459556208333333,e,,
3.459642875000000,:,,
3.459729583333333,' ',,
3.459816250000000,B,,
3.459902958333333,C,,
3.459989625000000,M,,
3.460076291666667,2,,
3.460163000000000,7,,
3.460249666666666,0,,
3.460336333333333,9,,
3.460423041666667,\r,,
3.460509708333333,\n,,
3.460602708333333,[,,
3.460689416666667,' ',,
3.460776083333333,' ',,
3.460862750000000,' ',,
3.460949458333333,' ',,
3.461036125000000,0,,
3.461122791666666,.,,
3.461209500000000,0,,
3.461296166666667,0,,
3.461382833333333,0,,
3.461469541666667,0,,
3.461556208333334,0,,
3.461642875000000,0,,
3.461729583333333,],,
3.461816250000000,' ',,
3.461902916666667,c,,
3.461989625000000,m,,
3.462076291666667,a,,
3.462162958333333,:,,
3.462249666666667,' ',,
3.462336333333333,R,,
3.462423000000000,e,,
3.462509708333333,s,,
3.462596375000000,e,,
3.462683041666667,r,,
3.462769750000000,v,,
3.462856416666667,e,,
3.462943083333333,d,,
3.463029791666667,' ',,
3.463116458333333,8,,
3.463203125000000,' ',,
3.463289833333334,M,,
3.463376500000000,i,,
3.463463166666667,B,,
3.463549875000000,' ',,
3.463636541666667,a,,
3.463723208333333,t,,
3.463809916666666,' ',,
3.463896583333333,0,,
3.463983250000000,x,,
3.464069958333333,3,,
3.464156625000000,a,,
3.464243291666667,8,,
3.464330000000000,0,,
3.464416666666667,0,,
3.464503333333333,0,,
3.464590041666667,0,,
3.464676708333333,0,,
3.464763375000000,\r,,
3.464850083333333,\n,,
3.464954750000000,[,,
3.465041458333333,' ',,
3.465128125000000,' ',,
3.465214791666666,' ',,
3.465301500000000,' ',,
3.465388166666667,0,,
3.465474833333333,.,,
3.465561541666667,0,,
3.465648208333334,0,,
3.465734875000000,0,,
3.465821583333333,0,,
3.465908250000000,0,,
3.465994916666667,0,,
3.466081625000000,],,
3.466168291666667,' ',,
3.466254958333333,M,,
3.466341666666667,e,,
3.466428333333333,m,,
3.466515000000000,o,,
3.466601708333333,r,,
3.466688375000000,y,,
3.466775041666667,' ',,
3.466861750000000,p,,
3.466948416666667,o,,
3.467035083333333,l,,
3.467121791666667,i,,
3.467208458333333,c,,
3.467295125000000,y,,
3.467381833333333,:,,
3.467468500000000,' ',,
3.467555166666667,D,,
3.467641875000000,a,,
3.467728541666667,t,,
3.467815208333333,a,,
3.467901916666666,' ',,
3.467988583333333,c,,
3.468075250000000,a,,
3.468161958333333,c,,
3.468248625000000,h,,
3.468335291666667,e,,
3.468422000000000,' ',,
3.468508666666667,w,,
3.468595333333333,r,,
3.468682041666667,i,,
3.468768708333333,t,,
3.468855375000000,e,,
3.468942083333333,a,,
3.469028750000000,l,,
3.469115458333333,l,,
3.469202125000000,o,,
3.469288791666667,c,,
3.469375500000000,\r,,
3.469462166666667,\n,,
3.469583500000000,[,,
3.469670208333334,' ',,
3.469756875000000,' ',,
3.469843541666667,' ',,
3.469930250000000,' ',,
3.470016916666667,0,,
3.470103583333333,.,,
3.470190291666666,0,,
3.470276958333333,0,,
3.470363625000000,0,,
3.470450333333333,0,,
3.470537000000000,0,,
3.470623666666667,0,,
3.470710375000000,],,
3.470797041666667,' ',,
3.470883708333333,[,,
3.470970416666667,b,,
3.471057083333333,c,,
3.471143750000000,m,,
3.471230458333333,2,,
3.471317125000000,7,,
3.471403791666666,0,,
3.471490500000000,9,,
3.471577166666667,_,,
3.471663833333333,s,,
3.471750541666667,m,,
3.471837208333334,p,,
3.471923875000000,_,,
3.472010583333333,i,,
3.472097250000000,n,,
3.472183916666667,i,,
3.472270625000000,t,,
3.472357291666667,_,,
3.472443958333333,c,,
3.472530666666667,p,,
3.472617333333333,u,,
3.472704000000000,s,,
3.472790708333333,],,
3.472877375000000,' ',,
3.472964083333333,e,,
3.473050750000000,n,,
3.473137416666667,t,,
3.473224125000000,e,,
3.473310791666667,r,,
3.473397458333333,' ',,
3.473484166666667,(,,
3.473570833333333,8,,
3.473657500000000,6,,
3.473744208333333,2,,
3.473830875000000,0,,
3.473917541666667,-,,
3.474004250000000,>,,
3.474090916666666,f,,
3.474177583333333,3,,
3.474264291666667,0,,
3.474350958333333,0,,
3.474437625000000,3,,
3.474524333333334,0,,
3.474611000000000,1,,
3.474697666666667,0,,
3.474784375000000,),,
3.474871041666667,\r,,
3.474957708333333,\n,,
3.475062750000000,[,,
3.475149416666667,' ',,
3.475236083333333,' ',,
3.475322791666667,' ',,
3.475409458333333,' ',,
3.475496125000000,0,,
3.475582833333333,.,,
3.475669500000000,0,,
3.475756166666667,0,,
3.475842875000000,0,,
3.475929541666666,0,,
3.476016208333333,0,,
3.476102916666667,0,,
3.476189583333333,],,
3.476276250000000,' ',,
3.476362958333334,[,,
3.476449625000000,b,,
3.476536291666667,c,,
3.476623000000000,m,,
3.476709666666667,2,,
3.476796333333333,7,,
3.476883041666667,0,,
3.476969708333333,9,,
3.477056375000000,_,,
3.477143083333333,s,,
3.477229750000000,m,,
3.477316416666667,p,,
3.477403125000000,_,,
3.477489791666667,i,,
3.477576500000000,n,,
3.477663166666667,i,,
3.477749833333333,t,,
3.477836541666667,_,,
3.477923208333333,c,,
3.478009875000000,p,,
3.478096583333333,u,,
3.478183250000000,s,,
3.478269916666667,],,
3.478356625000000,' ',,
3.478443291666667,n,,
3.478529958333333,c,,
3.478616666666666,o,,
3.478703333333333,r,,
3.478790000000000,e,,
3.478876708333333,s,,
3.478963375000000,=,,
3.479050041666667,4,,
3.479136750000000,\r,,
3.479223416666667,\n,,
3.479328083333333,[,,
3.479414791666667,' ',,
3.479501458333333,' ',,
3.479588125000000,' ',,
3.479674833333333,' ',,
3.479761500000000,0,,
3.479848166666667,.,,
3.479934875000000,0,,
3.480021541666667,0,,
3.480108208333333,0,,
3.480194916666667,0,,
3.480281583333333,0,,
3.480368250000000,0,,
3.480454958333334,],,
3.480541625000000,' ',,
3.480628291666667,P,,
3.480715000000000,E,,
3.480801666666667,R,,
3.480888333333333,C,,
3.480975041666666,P,,
3.481061708333333,U,,
3.481148375000000,:,,
3.481235083333333,' ',,
3.481321750000000,E,,
3.481408416666667,m,,
3.481495125000000,b,,
3.481581791666667,e,,
3.481668458333333,d,,
3.481755166666667,d,,
3.481841833333333,e,,
3.481928541666667,d,,
3.482015208333333,' ',,
3.482101875000000,1,,
3.482188583333333,1,,
3.482275250000000,' ',,
3.482361916666667,p,,
3.482448625000000,a,,
3.482535291666667,g,,
3.482621958333334,e,,
3.482708666666666,s,,
3.482795333333333,/,,
3.482882000000000,c,,
3.482968708333333,p,,
3.483055375000000,u,,
3.483142041666667,' ',,
3.483228750000000,@,,
3.483315416666667,b,,
3.483402083333333,a,,
3.483488791666667,0,,
3.483575458333333,6,,
3.483662125000000,2,,
3.483748833333333,0,,
3.483835500000000,0,,
3.483922166666667,0,,
3.484008875000000,' ',,
3.484095541666667,s,,
3.484182208333333,1,,
3.484268916666667,3,,
3.484355583333334,5,,
3.484442250000000,6,,
3.484528958333333,8,,
3.484615625000000,' ',,
3.484702291666667,r,,
3.484789000000000,8,,
3.484875666666666,1,,
3.484962333333333,9,,
3.485049041666667,2,,
3.485135708333333,' ',,
3.485222375000000,d,,
3.485309083333333,2,,
3.485395750000000,3,,
3.485482416666667,2,,
3.485569125000000,9,,
3.485655791666667,6,,
3.485742458333333,' ',,
3.485829166666667,u,,
3.485915833333333,4,,
3.486002500000000,5,,
3.486089208333333,0,,
3.486175875000000,5,,
3.486262541666667,6,,
3.486349250000000,\r,,
3.486435916666667,\n,,
3.486547958333333,[,,
3.486634625000000,' ',,
3.486721291666667,' ',,
3.486808000000000,' ',,
3.486894666666667,' ',,
3.486981333333333,0,,
3.487068041666667,.,,
3.487154708333333,0,,
3.487241375000000,0,,
3.487328083333333,0,,
3.487414750000000,0,,
3.487501416666666,0,,
3.487588125000000,0,,
3.487674791666667,],,
3.487761458333333,' ',,
3.487848166666667,B,,
3.487934833333334,u,,
3.488021500000000,i,,
3.488108208333333,l,,
3.488194875000000,t,,
3.488281541666667,' ',,
3.488368250000000,1,,
3.488454916666667,' ',,
3.488541583333333,z,,
3.488628291666667,o,,
3.488714958333333,n,,
3.488801625000000,e,,
3.488888333333333,l,,
3.488975000000000,i,,
3.489061666666667,s,,
3.489148375000000,t,,
3.489235041666667,s,,
3.489321708333333,' ',,
3.489408416666667,i,,
3.489495083333333,n,,
3.489581750000000,' ',,
3.489668458333334,Z,,
3.489755125000000,o,,
3.489841791666667,n,,
3.489928500000000,e,,
3.490015166666667,' ',,
3.490101833333333,o,,
3.490188541666666,r,,
3.490275208333333,d,,
3.490361875000000,e,,
3.490448583333333,r,,
3.490535250000000,COMMA,,
3.490621916666667,' ',,
3.490708625000000,m,,
3.490795291666667,o,,
3.490881958333333,b,,
3.490968666666667,i,,
3.491055333333333,l,,
3.491142000000000,i,,
3.491228708333333,t,,
3.491315375000000,y,,
3.491402041666666,' ',,
3.491488750000000,g,,
3.491575416666667,r,,
3.491662083333333,o,,
3.491748791666667,u,,
3.491835458333334,p,,
3.491922125000000,i,,
3.492008833333333,n,,
3.492095500000000,g,,
3.492182208333333,' ',,
3.492268875000000,o,,
3.492355541666667,n,,
3.492442250000000,.,,
3.492528916666667,' ',,
3.492615583333333,' ',,
3.492702291666667,T,,
3.492788958333333,o,,
3.492875625000000,t,,
3.492962333333333,a,,
3.493049000000000,l,,
3.493135666666667,' ',,
3.493222375000000,p,,
3.493309041666667,a,,
3.493395708333333,g,,
3.493482416666667,e,,
3.493569083333333,s,,
